Instance, Best_Cost
af-synthesis-af-synthesis_stb_50_120_3.wcnf,100
af-synthesis-af-synthesis_stb_50_120_9.wcnf,114
af-synthesis-af-synthesis_stb_50_140_0.wcnf,120
af-synthesis-af-synthesis_stb_50_140_1.wcnf,127
af-synthesis-af-synthesis_stb_50_140_7.wcnf,109
af-synthesis-af-synthesis_stb_50_140_8.wcnf,113
af-synthesis-af-synthesis_stb_50_160_4.wcnf,123
af-synthesis-af-synthesis_stb_50_160_5.wcnf,113
af-synthesis-af-synthesis_stb_50_180_1.wcnf,130
af-synthesis-af-synthesis_stb_50_180_2.wcnf,115
af-synthesis-af-synthesis_stb_50_200_4.wcnf,105
af-synthesis-af-synthesis_stb_50_20_8.wcnf,120
af-synthesis-af-synthesis_stb_50_40_8.wcnf,117
af-synthesis-af-synthesis_stb_50_40_9.wcnf,132
af-synthesis-af-synthesis_stb_50_60_3.wcnf,115
af-synthesis-af-synthesis_stb_50_80_3.wcnf,113
af-synthesis-af-synthesis_stb_50_80_7.wcnf,115
binaryNN-bnn_mnist_30_label3_adversarial_norm_inf_totalizer.wcnf,1
binaryNN-bnn_mnist_35_label2_adversarial_norm_inf_totalizer.wcnf,1
binaryNN-bnn_mnist_back_image_4_label0_adversarial_norm_inf_totalizer.wcnf,85
binaryNN-bnn_mnist_rot_7_label2_adversarial_norm_inf_totalizer.wcnf,1
causal-discovery-causal_Autos_8_159.wcnf,707611
causal-discovery-causal_Heart_10_212.wcnf,1453924
causal-discovery-causal_Horse_9_300.wcnf,1811907
causal-discovery-causal_Link_10_1000.wcnf,1917853
causal-discovery-causal_Water_10_1000.wcnf,11339025
causal-discovery-causal_alarm_9_1000.wcnf,1233992
causal-discovery-causal_carpo_9_10000.wcnf,1223386
causal-discovery-causal_insurance_9_100.wcnf,3211332
correlation-clustering-Rounded_CorrelationClustering_Ecoli_BINARY_N220_D0.200.wcnf,12889477
correlation-clustering-Rounded_CorrelationClustering_Ecoli_BINARY_N240_D0.200.wcnf,17545744
correlation-clustering-Rounded_CorrelationClustering_Ecoli_BINARY_N280_D0.200.wcnf,27388625
correlation-clustering-Rounded_CorrelationClustering_Ecoli_BINARY_N300_D0.200.wcnf,28106754
correlation-clustering-Rounded_CorrelationClustering_Ionosphere_BINARY_N280_D0.200.wcnf,7184364
correlation-clustering-Rounded_CorrelationClustering_Ionosphere_BINARY_N300_D0.200.wcnf,8112613
correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N230.wcnf,12362340
correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N250.wcnf,14205411
correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N270.wcnf,16380218
correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N290.wcnf,17980608
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N400.wcnf,39856439
correlation-clustering-Rounded_CorrelationClustering_Protein2_UNARY_N180.wcnf,10835167
correlation-clustering-Rounded_CorrelationClustering_Protein2_UNARY_N200.wcnf,12682853
correlation-clustering-Rounded_CorrelationClustering_Protein2_UNARY_N220.wcnf,13727551
correlation-clustering-Rounded_CorrelationClustering_Protein2_UNARY_N240.wcnf,16334269
correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N220.wcnf,13890288
correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N240.wcnf,15173042
correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N260.wcnf,17910180
correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N300.wcnf,25313272
correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N380.wcnf,16428528
correlation-clustering-Rounded_CorrelationClustering_Protein4_UNARY_N210.wcnf,4170771
correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200.wcnf,83139392
correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N760_D0.200.wcnf,100430662
correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200.wcnf,95373606
hs-timetabling-BrazilInstance1.xml.wcnf,38
hs-timetabling-BrazilInstance2.xml.wcnf,5
hs-timetabling-BrazilInstance4.xml.wcnf,58
hs-timetabling-BrazilInstance5.xml.wcnf,17
hs-timetabling-BrazilInstance6.xml.wcnf,54
hs-timetabling-BrazilInstance7.xml.wcnf,109
hs-timetabling-FinlandSecondarySchool.xml.wcnf,115
hs-timetabling-ItalyInstance4.xml.wcnf,35
lisbon-wedding-lisbon-wedding-10-19.wcnf,380
lisbon-wedding-lisbon-wedding-2-18.wcnf,1137
lisbon-wedding-lisbon-wedding-4-17.wcnf,803
lisbon-wedding-lisbon-wedding-4-19.wcnf,806
lisbon-wedding-lisbon-wedding-5-19.wcnf,805
lisbon-wedding-lisbon-wedding-6-19.wcnf,805
lisbon-wedding-lisbon-wedding-7-17.wcnf,420
lisbon-wedding-lisbon-wedding-7-19.wcnf,424
lisbon-wedding-lisbon-wedding-8-17.wcnf,395
lisbon-wedding-lisbon-wedding-8-19.wcnf,399
lisbon-wedding-lisbon-wedding-9-19.wcnf,398
max-realizability-power-distribution_10_7.wcnf,60
max-realizability-power-distribution_10_8.wcnf,60
max-realizability-power-distribution_11_7.wcnf,126
max-realizability-power-distribution_11_8.wcnf,126
max-realizability-power-distribution_12_7.wcnf,216
max-realizability-power-distribution_12_8.wcnf,216
max-realizability-power-distribution_2_8.wcnf,10
max-realizability-power-distribution_7_8.wcnf,18
max-realizability-power-distribution_8_8.wcnf,40
max-realizability-power-distribution_9_8.wcnf,18
max-realizability-robot-navigation_10.wcnf,14
maxcut-brock200_4.clq.wcnf,1105
maxcut-brock400_3.clq.wcnf,1259
maxcut-brock800_3.clq.wcnf,1079
maxcut-hamming6-2.clq.wcnf,832
maxcut-johnson8-4-4.clq.wcnf,770
maxcut-p_hat500-3.clq.wcnf,1501
maxcut-p_hat700-3.clq.wcnf,1432
maxcut-san200_0.7_1.clq.wcnf,1256
maxcut-sanr200_0.7.clq.wcnf,1171
metro-metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted.wcnf,138
min-width-MinWidthCB_milan_200_12_1k_10s_1t_12.wcnf,92434
min-width-MinWidthCB_mitdbsample_100_43_1k_5s_2t_7.wcnf,31410
min-width-MinWidthCB_mitdbsample_200_26_1k_2s_2t_4.wcnf,30015
min-width-MinWidthCB_mitdbsample_200_43_1k_10s_2t_12.wcnf,39945
min-width-MinWidthCB_mitdbsample_300_26_1k_6s_1t_8.wcnf,30860
min-width-MinWidthCB_mitdbsample_300_26_1k_6s_2t_6.wcnf,28035
min-width-MinWidthCB_mitdbsample_300_32_1k_15s_2t_17.wcnf,25940
min-width-MinWidthCB_mitdbsample_300_32_1k_6s_1t_8.wcnf,32180
min-width-MinWidthCB_mitdbsample_300_32_1k_6s_2t_8.wcnf,31315
min-width-MinWidthCB_mitdbsample_300_43_1k_3s_1t_5.wcnf,47280
min-width-MinWidthCB_mitdbsample_300_43_1k_3s_2t_3.wcnf,45705
min-width-MinWidthCB_mitdbsample_300_64_1k_15s_2t_17.wcnf,59400
min-width-MinWidthCB_mitdbsample_300_64_1k_6s_1t_8.wcnf,75180
min-width-MinWidthCB_power_600_24_1k_12s_2t_14.wcnf,73681
mpe-random-net-30-6_network-4.net.wcnf,24362
mpe-random-net-40-5_network-10.net.wcnf,32686
mpe-random-net-40-5_network-7.net.wcnf,35573
mpe-random-net-50-5_network-10.net.wcnf,41721
mpe-random-net-50-5_network-4.net.wcnf,43082
mpe-random-net-50-5_network-9.net.wcnf,44178
pseudoBoolean-normalized-mps-v2-20-10-cracpb1.opb.msat.wcnf,22199
pseudoBoolean-normalized-mps-v2-20-10-lp4l.opb.msat.wcnf,3152
pseudoBoolean-normalized-mps-v2-20-10-mod008.opb.msat.wcnf,307
pseudoBoolean-normalized-mps-v2-20-10-p0548.opb.msat.wcnf,10140
pseudoBoolean-normalized-mps-v2-20-10-sentoy.opb.msat.wcnf,1785
railroad_sc-rail2536.wcnf,689
railroad_sc-rail4284.wcnf,1279
railroad_sc-rail4872.wcnf,2162
railroad_scheduling-MultiDay_2_weighted.wcnf,461782
railroad_scheduling-MultiDay_3_weighted.wcnf,1056276
railroad_scheduling-MultiDay_4_weighted.wcnf,2022668
railroad_scheduling-SingleDay_37_weighted.wcnf,44250946
railway-transport-bf2030fvslack.wcnf,245250
railway-transport-r11.wcnf,48825493
railway-transport-wg2.wcnf,78
ramsey-ram_k3_n13.ra1.wcnf,1417
ramsey-ram_k3_n14.ra1.wcnf,3025
ramsey-ram_k3_n15.ra1.wcnf,4884
ramsey-ram_k3_n16.ra1.wcnf,7271
ramsey-ram_k3_n17.ra1.wcnf,10372
ramsey-ram_k3_n18.ra1.wcnf,15621
ramsey-ram_k3_n19.ra1.wcnf,20665
ramsey-ram_k3_n20.ra1.wcnf,23898
ramsey-ram_k4_n18.ra1.wcnf,313
ramsey-ram_k4_n19.ra1.wcnf,1075
ramsey-ram_k4_n20.ra1.wcnf,2635
scSequencing-simNo_1-s_15-m_300-n_300-fp_0.01-fn_0.20.wcnf,8412990598493466
scSequencing-simNo_2-s_5-m_300-n_300-fp_0.01-fn_0.20.wcnf,12522730322858700
scSequencing-simNo_6-s_5-m_100-n_500-fp_0.0001-fn_0.20.wcnf,949478456536992
scSequencing-simNo_8-s_5-m_100-n_500-fp_0.0001-fn_0.20.wcnf,660351384442107
scSequencing-simNo_9-s_15-m_300-n_300-fp_0.0001-fn_0.20.wcnf,1933421698075122
set-covering-scpnrg1_weighted.wcnf,177
set-covering-scpnrg2_weighted.wcnf,154
set-covering-scpnrg3_weighted.wcnf,168
set-covering-scpnrg4_weighted.wcnf,171
set-covering-scpnrg5_weighted.wcnf,172
set-covering-scpnrh1_weighted.wcnf,64
set-covering-scpnrh2_weighted.wcnf,64
set-covering-scpnrh3_weighted.wcnf,59
set-covering-scpnrh4_weighted.wcnf,58
set-covering-scpnrh5_weighted.wcnf,55
shiftdesign-limits-10-10_data-2_inst-003_30m.sm-extracted.wcnf,29513967
shiftdesign-limits-10-10_data-2_inst-025_30m.sm-extracted.wcnf,42366243
shiftdesign-limits-10-10_data-2_inst-030_30m.sm-extracted.wcnf,33006575
shiftdesign-limits-10-10_data-4_inst-003_60m.sm-extracted.wcnf,9547398
spot5-1407.wcsp.log.wcnf,459570
staff-scheduling-instance10.wcnf,5302
staff-scheduling-instance11.wcnf,3568
staff-scheduling-instance12.wcnf,5295
staff-scheduling-instance2.wcnf,828
staff-scheduling-instance3.wcnf,1011
staff-scheduling-instance4.wcnf,1716
staff-scheduling-instance5.wcnf,1201
staff-scheduling-instance6.wcnf,2044
staff-scheduling-instance7.wcnf,1138
staff-scheduling-instance8.wcnf,1458
staff-scheduling-instance9.wcnf,704
tcp-tcp_students_105_it_2.wcnf,2547
tcp-tcp_students_105_it_6.wcnf,2994
tcp-tcp_students_112_it_13.wcnf,2958
tcp-tcp_students_112_it_5.wcnf,3366
tcp-tcp_students_112_it_9.wcnf,2955
tcp-tcp_students_98_it_11.wcnf,2694
tcp-tcp_students_98_it_14.wcnf,3063
tcp-tcp_students_98_it_15.wcnf,3141
tcp-tcp_students_98_it_2.wcnf,2580
timetabling-comp02.wcnf,24
timetabling-comp05.wcnf,406
timetabling-comp06.lp.sm-extracted.wcnf,14
timetabling-comp07.wcnf,6
timetabling-comp09.wcnf,96
timetabling-comp12.wcnf,374
timetabling-comp15.wcnf,67
timetabling-comp18.wcnf,62
timetabling-comp21.wcnf,79
timetabling-test3.wcnf,97
timetabling-test4.wcnf,158
MaxSATQueriesinInterpretableClassifiers-adult_train_3_CNF_5_1.wcnf,4912
MaxSATQueriesinInterpretableClassifiers-compas_train_4_DNF_4_1.wcnf,2087
MaxSATQueriesinInterpretableClassifiers-compas_train_4_DNF_5_1.wcnf,2083
MaxSATQueriesinInterpretableClassifiers-credit_test_0_CNF_4_1.wcnf,517
MaxSATQueriesinInterpretableClassifiers-credit_train_0_CNF_2_1.wcnf,5307
MaxSATQueriesinInterpretableClassifiers-credit_train_1_CNF_3_1.wcnf,5603
MaxSATQueriesinInterpretableClassifiers-credit_train_4_CNF_5_1.wcnf,4891
MaxSATQueriesinInterpretableClassifiers-credit_train_6_DNF_3_1.wcnf,4884
MaxSATQueriesinInterpretableClassifiers-heart_train_0_CNF_5_1.wcnf,46
MaxSATQueriesinInterpretableClassifiers-heart_train_1_DNF_3_1.wcnf,46
MaxSATQueriesinInterpretableClassifiers-heart_train_4_CNF_5_1.wcnf,45
MaxSATQueriesinInterpretableClassifiers-ionosphere_train_1_CNF_3_1.wcnf,22
MaxSATQueriesinInterpretableClassifiers-ionosphere_train_1_CNF_4_1.wcnf,22
MaxSATQueriesinInterpretableClassifiers-tictactoe_train_6_CNF_4_1.wcnf,118
MaxSATQueriesinInterpretableClassifiers-toms_test_1_DNF_2_1.wcnf,59
MaxSATQueriesinInterpretableClassifiers-toms_train_1_CNF_2_1.wcnf,734
MaxSATQueriesinInterpretableClassifiers-toms_train_4_DNF_5_1.wcnf,644
MaxSATQueriesinInterpretableClassifiers-twitter_test_1_CNF_2_1.wcnf,172
MaxSATQueriesinInterpretableClassifiers-wdbc_train_7_DNF_5_1.wcnf,21
MaximumCommonSub-GraphExtraction-g10_n13e12_n13e12_n14e13_n14e13_n14e13_n14e13_n14e13_n15e13_n15e14_n15e14.wcnf,1
MaximumCommonSub-GraphExtraction-g2_n13e12_n46e57.wcnf,1
MaximumCommonSub-GraphExtraction-g2_n35e34_n58e61.wcnf,21
MaximumCommonSub-GraphExtraction-g2_n42e55_n44e53.wcnf,33
MaximumCommonSub-GraphExtraction-g2_n57e60_n61e85.wcnf,44
MaximumCommonSub-GraphExtraction-g2_n61e68_n73e75.wcnf,48
MaximumCommonSub-GraphExtraction-g2_n63e71_n74e99.wcnf,53
MaximumCommonSub-GraphExtraction-g2_n67e83_n68e73.wcnf,50
MaximumCommonSub-GraphExtraction-g3_n46e48_n58e61_n75e81.wcnf,35
MaximumCommonSub-GraphExtraction-g4_n47e58_n55e66_n61e85_n67e83.wcnf,44
MaximumCommonSub-GraphExtraction-g4_n56e84_n61e85_n62e78_n63e71.wcnf,74
SeanSafarpour-SM_AS_TOP_buggy1.dimacs.filtered.wcnf,57
SeanSafarpour-SM_MAIN_MEM_buggy1.dimacs.filtered.wcnf,390
SeanSafarpour-rsdecoder-problem.dimacs_38.filtered.wcnf,2
SeanSafarpour-rsdecoder-problem.dimacs_41.filtered.wcnf,2
SeanSafarpour-rsdecoder1_blackbox_KESblock-problem.dimacs_30.filtered.wcnf,2
SeanSafarpour-rsdecoder4.dimacs.filtered.wcnf,4
SeanSafarpour-rsdecoder6.dimacs.filtered.wcnf,3
SeanSafarpour-wb_4m8s-problem.dimacs_47.filtered.wcnf,33
SeanSafarpour-wb_4m8s-problem.dimacs_49.filtered.wcnf,222
SeanSafarpour-wb_4m8s4.dimacs.filtered.wcnf,227
aes-key-recovery-AES1-76-36.wcnf,22
aes-key-recovery-AES1-76-38.wcnf,1
aes-key-recovery-AES2-72-67.wcnf,2
aes-mul_8_11.wcnf,64
aes-mul_8_13.wcnf,60
aes-mul_8_14.wcnf,56
aes-mul_8_9.wcnf,42
aes-sbox_8.wcnf,303
atcoss-atcoss_mesat_02.wcnf,50
atcoss-atcoss_mesat_03.wcnf,50
atcoss-atcoss_mesat_04.wcnf,30
atcoss-atcoss_mesat_05.wcnf,10
atcoss-atcoss_mesat_10.wcnf,13
atcoss-atcoss_mesat_15.wcnf,40
atcoss-atcoss_mesat_18.wcnf,12
atcoss-atcoss_sugar_02.wcnf,50
atcoss-atcoss_sugar_03.wcnf,50
atcoss-atcoss_sugar_04.wcnf,30
atcoss-atcoss_sugar_05.wcnf,10
atcoss-atcoss_sugar_10.wcnf,13
atcoss-atcoss_sugar_15.wcnf,28
atcoss-atcoss_sugar_18.wcnf,12
bcp-SU-100kb__simp-genos.haps.1.wcnf,53
bcp-SU-100kb__simp-genos.haps.12.wcnf,66
bcp-SU-100kb__simp-genos.haps.21.wcnf,57
bcp-SU-100kb__simp-genos.haps.22.wcnf,63
bcp-SU-100kb__simp-genos.haps.3.wcnf,53
bcp-SU3__simp-genos.haps.63.wcnf,88
bcp-SU3__simp-genos.haps.80.wcnf,102
bcp-SU3__simp-genos.haps.9.wcnf,106
bcp-normalized-ex1010.pi.wcnf,241
bcp-normalized-fir08_area_opers.wcnf,48
bcp-normalized-g125.18.wcnf,2232
bcp-normalized-test4.pi.wcnf,95
close_solutions-SAT11__application__fuhs__AProVE11__AProVE11-09.cnf.wcnf.2.wcnf,1331
close_solutions-SAT11__application__fuhs__AProVE11__AProVE11-09.cnf.wcnf.3.wcnf,1312
close_solutions-SAT11__application__fuhs__AProVE11__AProVE11-10.cnf.wcnf.3.wcnf,1028
close_solutions-SAT11__application__rintanen__SATPlanning__blocks-blocks-36-0.170-NOTKNOWN.cnf.wcnf.6.wcnf,48
des-cnf.19.p.10.wcnf,19
des-cnf.20.p.10.wcnf,20
des-cnf.20.p.8.wcnf,20
exploits-synthesis-meltdown_min.wcnf,69
exploits-synthesis-spectre_min.wcnf,89
extension-enforcement-extension-enforcement_non-strict_stb_150_0.05_2_8_4.wcnf,4
extension-enforcement-extension-enforcement_non-strict_stb_150_0.1_2_8_2.wcnf,8
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_1_10_0.wcnf,8
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_1_10_1.wcnf,10
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_1_10_2.wcnf,11
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_2_10_2.wcnf,8
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_3_10_0.wcnf,10
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_3_10_1.wcnf,8
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_4_10_1.wcnf,7
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_4_10_2.wcnf,6
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_4_10_3.wcnf,9
extension-enforcement-extension-enforcement_non-strict_stb_200_0.1_2_10_1.wcnf,8
fault-diagnosis-s38584_nan_explicit_2_0.wcnf,134
fault-diagnosis-s38584_nan_explicit_7_0.wcnf,188
fault-diagnosis-s38584_nan_explicit_8_0.wcnf,196
fault-diagnosis-s38584_nan_explicit_9_0.wcnf,208
gen-hyper-tw-GenHyperTW_aim-50-2_0-yes1-3.wcnf,12
gen-hyper-tw-GenHyperTW_atv_partial_system.wcnf,3
gen-hyper-tw-GenHyperTW_dubois24.wcnf,2
gen-hyper-tw-GenHyperTW_flat30-50.wcnf,33
gen-hyper-tw-GenHyperTW_grid4d_3.wcnf,7
gen-hyper-tw-GenHyperTW_hole6.wcnf,7
gen-hyper-tw-GenHyperTW_hole9.wcnf,12
gen-hyper-tw-GenHyperTW_par8-5-c.wcnf,10
hs-timetabling-GreeceWesternGreeceUniversityInstance4.xml.wcnf,14
large-graph-commmunity-AMAZON.wcnf,52564
large-graph-commmunity-DBLP.wcnf,58639
large-graph-commmunity-YOUTUBE.wcnf,109363
logic-synthesis-normalized-test4.pi.opb.msat.wcnf,94
maxclique-MANN_a81.clq.wcnf,2221
maxclique-brock400_1.clq.wcnf,375
maxclique-brock400_4.clq.wcnf,367
maxclique-brock800_2.clq.wcnf,781
maxclique-p_hat1000-1.clq.wcnf,990
maxclique-p_hat1000-3.clq.wcnf,935
maxclique-p_hat300-3.clq.wcnf,264
maxclique-p_hat500-3.clq.wcnf,450
maxclique-p_hat700-1.clq.wcnf,689
maxclique-p_hat700-3.clq.wcnf,638
maxclique-sanr400_0.7.clq.wcnf,379
maxcut-MANN_a27.clq.wcnf,404
maxcut-MANN_a45.clq.wcnf,418
maxcut-MANN_a81.clq.wcnf,399
maxcut-MANN_a9.clq.wcnf,422
maxcut-c-fat500-10.clq.wcnf,200
maxcut-hamming10-2.clq.wcnf,400
maxcut-hamming8-2.clq.wcnf,441
mbd-b14_C-mbd14-0277.wcnf,24
mbd-b14_C-mbd14-0337.wcnf,24
mbd-b14_C-mbd14-0388.wcnf,20
mbd-b21_C-mbd14-0218.wcnf,26
mbd-b21_C-mbd14-0322.wcnf,25
min-fill-MinFill_R0_myciel6.wcnf,753
min-fill-MinFill_R0_myciel7.wcnf,3137
min-fill-MinFill_R0_queen11_11.wcnf,4266
min-fill-MinFill_R0_queen6_6.wcnf,231
min-fill-MinFill_R0_queen7_7.wcnf,495
min-fill-MinFill_R0_queen8_12.wcnf,2387
min-fill-MinFill_R0_queen8_8.wcnf,959
min-fill-MinFill_R0_queen9_9.wcnf,1640
min-fill-MinFill_R1_games120.wcnf,1670
min-fill-MinFill_R3_miles1000.wcnf,624
min-fill-MinFill_R3_miles750.wcnf,482
min-fill-MinFill_R4_miles500.wcnf,379
optic-gen_add_4_carry_33.wcnf,188
optic-gen_cvc-add7to3_9999.wcnf,191
optic-gen_mult_3_5_9999.wcnf,58
optic-gen_mult_3_6_9999.wcnf,62
optic-gen_mult_4_5_33.wcnf,730
optic-gen_mult_4_5_399.wcnf,730
optic-gen_mult_4_5_991.wcnf,117
optic-gen_mult_4_5_9999.wcnf,196
optic-gen_mult_4_6_991.wcnf,137
optic-gen_mult_4_6_9999.wcnf,353
optic-gen_mult_4_7_991.wcnf,143
optic-gen_mult_5_5_399.wcnf,2306
optic-gen_mult_5_5_991.wcnf,230
optic-gen_mult_5_5_9999.wcnf,505
optic-gen_square_5_9999.wcnf,58
phylogentic-trees-ms_120_20_20-0.wcnf,49
phylogentic-trees-ms_200_12_20-2.wcnf,93
phylogentic-trees-ms_200_20_20-9.wcnf,86
phylogentic-trees-ms_260_20_20-0.wcnf,76
phylogentic-trees-ms_260_20_20-1.wcnf,66
program_disambiguation-Q13_OPTIONS_1.wcnf,21
program_disambiguation-Q22_OPTIONS_1.wcnf,28
pseudoBoolean-normalized-g100x100.opb.msat.wcnf,2129
railroad_scheduling-MultiDay_1_weighted.wcnf,80708
railroad_scheduling-MultiDay_3.wcnf,152940
railroad_scheduling-MultiDay_4.wcnf,185492
railroad_scheduling-SingleDay_37.wcnf,82490
railway-transport-d4.wcnf,2027
railway-transport-pesp_18Min.wcnf,278
railway-transport-pesp_5min.wcnf,68
railway-transport-we.wcnf,252
ramsey-ram_k3_n12.ra0.wcnf,10
ramsey-ram_k3_n13.ra0.wcnf,16
ramsey-ram_k3_n14.ra0.wcnf,21
ramsey-ram_k3_n16.ra0.wcnf,39
ramsey-ram_k3_n17.ra0.wcnf,50
ramsey-ram_k3_n18.ra0.wcnf,60
ramsey-ram_k3_n19.ra0.wcnf,75
ramsey-ram_k3_n20.ra0.wcnf,90
ramsey-ram_k4_n18.ra0.wcnf,9
ramsey-ram_k4_n19.ra0.wcnf,15
ramsey-ram_k4_n20.ra0.wcnf,24
reversi-rev66-12.wcnf,21
reversi-rev66-14.wcnf,19
reversi-rev66-16.wcnf,17
reversi-rev66-18.wcnf,15
reversi-rev66-20.wcnf,13
reversi-rev66-22.wcnf,11
reversi-rev66-24.wcnf,9
reversi-rev66-26.wcnf,7
reversi-rev66-28.wcnf,5
reversi-rev66-30.wcnf,3
reversi-rev66-32.wcnf,1
scheduling-cnf_10.wcnf,50
scheduling-cnf_12.wcnf,61
scheduling-cnf_small.wcnf,28
set-covering-scpclr11_maxsat.wcnf,23
set-covering-scpclr12_maxsat.wcnf,23
set-covering-scpclr13_maxsat.wcnf,26
set-covering-scpcyc06_maxsat.wcnf,60
set-covering-scpcyc07_maxsat.wcnf,147
set-covering-scpcyc08_maxsat.wcnf,360
set-covering-scpcyc09_maxsat.wcnf,831
set-covering-scpcyc10_maxsat.wcnf,1917
set-covering-scpcyc11_maxsat.wcnf,4295
treewidth-computation-TWComp_1c75_N69.wcnf,29
treewidth-computation-TWComp_1dj7_N73.wcnf,26
