Instance,Best-cost
wcn.compas_test_3_DNF_5_1.wcnf,396
wcn.heart_test_9_CNF_4_1.wcnf,22
wcn.heart_train_6_DNF_3_1.wcnf,42
wcn.ionosphere_test_8_CNF_2_1.wcnf,15
wcn.ionosphere_train_8_CNF_4_1.wcnf,20
wcn.ionosphere_train_8_DNF_5_1.wcnf,23
wcn.parkinsons_train_3_DNF_2_1.wcnf,17
wcn.parkinsons_train_7_CNF_2_1.wcnf,14
wcn.pima_test_4_CNF_2_1.wcnf,24
wcn.tictactoe_test_9_DNF_4_1.wcnf,33
wcn.tictactoe_train_7_DNF_4_1.wcnf,146
wcn.toms_test_4_CNF_3_1.wcnf,58
wcn.transfusion_train_7_CNF_2_1.wcnf,160
we.wcnf,209
wei.MultiDay_0_weighted.wcnf,27639
wei.MultiDay_1_weighted.wcnf,74270
wei.SingleDay_2_weighted.wcnf,6150
wolfram72_0.wcnf,9288
wolfram72_1.wcnf,9288
wolfram72_3.wcnf,9288
wolfram72_5.wcnf,9288
wolfram72_8.wcnf,9288
wolfram72_9.wcnf,9288
wolfram80_3.wcnf,11440
wolfram80_5.wcnf,11440
YOUTUBE.wcnf,86376
